0.lead, time, india, dress, glass, dwarf, rose, death, queen, development, opportunities, developing, management, industry, managing, resources, leaders, global, develop
1.knight, antarctica, robot, bug, crash, wake, france, racket, iron, adventures, planet, adventure, snowman, telescope, galaxy, science, moon, jupiter, solo
2.hole, washington, piano, staff, film, crash, cross, truck, berlin, no., blues, beat, play, tonight, bass, chamber, lesson, 5th, somewhere
3.glove, lead, himalaya, paper, canada, belt, bank, spike, sprint, trail, yoga, desert, quest, adventure, adventures, pure, blend, epic, ingredients
4.knife, dress, knight, horseshoe, rock, file, grass, mercury, africa, mask, chest, weapon, navy, guard, bow, skill, chef, hunter, cook
5.beach, undertaker, wake, human, park, slip, club, france, millionaire, dude, vs., sucks, hell, fucked, jeff, vs, lol, ghost, devil
6.snowman, sprint, england, log, glass, dwarf, fair, wake, shadow, nfl, hockey, ski, baseball, indoor, nba, t-shirt, stewart, yard, golf
7.alien, rock, eagle, rat, circle, mass, kiwi, bank, belt, jason, desert, crew, giant, flying, angels, birds, whale, poster, hunter
8.note, racket, glass, capital, back, lab, band, hood, fan, shoe, diameter, tennis, balls, wholesale, rubber, pipe, aluminum, spin, manufacturers
9.maple, revolution, tower, dice, bow, bank, grass, undertaker, paper, kings, elite, howard, hockey, drum, apple, boston, pro, classic, electric
10.robot, sprint, stick, limousine, server, worm, olympus, mouth, antarctica, challenge, soccer, track, competition, jump, racing, bike, races, mini, hero
11.knight, whale, phoenix, belt, bow, kiwi, tower, lead, jam, alien, adventure, adventures, watching, watched, planet, pictures, rescue, dawn, movies
12.war, olympus, bug, ketchup, circle, fish, whale, turkey, lawyer, xbox, ps3, microsoft, wii, format, resolution, 3.0, flash, samsung, .0
13.hole, millionaire, arm, glove, fish, telescope, night, phoenix, fair, boom, self, slot, bitch, blind, wants, become, dude, boss, hidden
14.fork, slip, shot, lap, teacher, gold, lead, triangle, swing, knife, wash, lane, truck, brush, mouth, trailer, tube, stuck, nose
15.novel, death, chocolate, net, nut, china, moscow, trip, swing, dark, divine, blood, killer, devil, heart, passion, hearts, original, brain
16.march, gas, sub, ketchup, berlin, human, agent, bark, ice, 38, 44, replaced, 52, 42, 37, 55, 33, 45, 43
17.flute, port, jam, cell, truck, mouth, ivory, orange, model, cd, jazz, guest, recording, pub, keys, recorded, poetry, played, performing
18.bark, head, knife, film, egypt, dog, amazon, horseshoe, press, wood, diameter, trim, leaf, oak, nut, spray, leaves, wooden, painted
19.jet, mercury, park, lead, rat, beach, stick, part, jupiter, trucks, eagle, dodge, motorcycle, 250, marine, twin, ltd, cars, johnson
20.boom, olympus, death, robin, robot, ice, rose, kiwi, gas, recording, angle, canon, digital, xbox, scope, shoot, gear, japan, cameras
21.antarctica, rome, port, stick, fair, trip, africa, fork, pilot, jupiter, unknown, virgin, zone, destroyed, outer, maria, roman, occurred, dawn
22.robin, crash, press, hospital, well, cricket, england, kid, agent, tweet, 1999, 1993, 1994, gordon, 1989, 1987, 1997, 1995, 1986
23.compound, bark, china, jet, laser, switch, arm, kiwi, fan, soil, plant, plants, natural, contain, corn, clay, salt, mixed, ingredients
24.snowman, eye, march, eagle, worm, gas, death, mammoth, amazon, lovely, fun, hello, candy, cute, pattern, ball, pink, winter, craft
25.england, jam, berlin, hospital, beach, eye, lap, whale, jet, classical, revolution, debut, performances, live, vol, bbc, 27th, 09, 22nd
26.head, opera, vacuum, mammoth, wall, green, jam, box, ghost, chamber, instruments, engines, acting, applications, performed, frequently, perform, professional, stage
27.mercury, net, france, tooth, kid, hook, stadium, band, copper, 2004, 2005, 2006, 2003, 2002, 1998, engines, agency, 2001, 2000
28.washer, paste, field, olive, server, arm, van, novel, mercury, clean, concrete, replace, sheets, wet, fill, heat, dirt, hot, quantity
